Departamento_inb;Provincia_inb;Distrito_inb;Total hogares;Total Cifras absolutas;Cifras absolutas 1 NBI;Cifras absolutas 2 NBI;Cifras absolutas 3 NBI;Cifras absolutas 4 NBI;Cifras absolutas 5 NBI;conteo;Indice;Ubigeo;Departamento_pobrz;Provincia_pobrez;Distrito_pobrez;Poblacion_proyectada2020;Intervalo_inferior;Intervalo_superior;Grupo_robusto;Ubicacion_pobreza_monetaria
CUSCO;CALCA;COYA;1090;324;280;42;2;0;0;1;1092;80402;CUSCO;CALCA;COYA;3645;17,1;42,6;12;1092
CUSCO;CUSCO;CUSCO;30821;2780;2611;158;11;0;0;1;1758;80101;CUSCO;CUSCO;CUSCO;118127;4;12,4;20;1758
CUSCO;QUISPICANCHI;CUSIPATA;1292;574;451;94;27;2;0;1;785;81206;CUSCO;QUISPICANCHI;CUSIPATA;4661;26,4;50,2;10;785
CUSCO;LA CONVENCIÓN;ECHARATE;7323;3514;2730;660;102;15;7;1;1334;80902;CUSCO;LA CONVENCIÓN;ECHARATE;25281;13,3;33,2;14;1334
CUSCO;ESPINAR;ESPINAR;10561;1663;1519;139;5;0;0;1;1219;80801;CUSCO;ESPINAR;ESPINAR;38886;16,1;35,7;14;1219
CUSCO;PAUCARTAMBO;HUANCARANI;1835;650;544;93;12;1;0;1;507;81105;CUSCO;PAUCARTAMBO;HUANCARANI;7866;31,7;59,7;8;507
CUSCO;PARURO;HUANOQUITE;1482;608;520;79;9;0;0;1;700;81005;CUSCO;PARURO;HUANOQUITE;5078;26,5;54;9;700
CUSCO;QUISPICANCHI;HUARO;1285;402;326;60;15;1;0;1;972;81207;CUSCO;QUISPICANCHI;HUARO;4965;24;42,3;11;972
CUSCO;ANTA;HUAROCONDO;1426;471;356;100;15;0;0;1;1101;80305;CUSCO;ANTA;HUAROCONDO;4634;17,1;42,2;12;1101
CUSCO;URUBAMBA;HUAYLLABAMBA;1540;251;229;20;2;0;0;1;1282;81303;CUSCO;URUBAMBA;HUAYLLABAMBA;6308;15,4;33,3;14;1282
CUSCO;LA CONVENCIÓN;HUAYOPATA;1843;411;337;66;7;1;0;1;1307;80903;CUSCO;LA CONVENCIÓN;HUAYOPATA;5487;11,7;36;14;1307
CUSCO;LA CONVENCIÓN;INKAWASI;1314;278;231;44;3;0;0;1;512;80911;CUSCO;LA CONVENCIÓN;INKAWASI;5031;30,1;60,8;8;512
CUSCO;LA CONVENCIÓN;KIMBIRI;4618;2659;1836;703;111;8;1;1;1251;80907;CUSCO;LA CONVENCIÓN;KIMBIRI;19099;14,7;35,4;14;1251
CUSCO;PAUCARTAMBO;KOSÑIPATA;1324;1255;539;518;154;40;4;1;1044;81106;CUSCO;PAUCARTAMBO;KOSÑIPATA;4892;18,4;43,5;12;1044
CUSCO;CANAS;KUNTURKANKI;1616;545;457;76;12;0;0;1;505;80503;CUSCO;CANAS;KUNTURKANKI;5178;32;59,6;8;505
CUSCO;CALCA;LAMAY;1483;351;269;76;5;1;0;1;719;80403;CUSCO;CALCA;LAMAY;5967;28;51,9;9;719
CUSCO;CANAS;LANGUI;674;211;188;21;2;0;0;1;675;80504;CUSCO;CANAS;LANGUI;2104;27,8;53,9;9;675
CUSCO;CALCA;LARES;1851;1243;758;423;55;6;1;1;335;80404;CUSCO;CALCA;LARES;6412;37,2;64,8;7;335
CUSCO;CANAS;LAYO;1694;597;498;86;12;1;0;1;258;80505;CUSCO;CANAS;LAYO;5548;39,2;67,1;6;258
CUSCO;ANTA;LIMATAMBO;2269;565;468;89;8;0;0;1;868;80306;CUSCO;ANTA;LIMATAMBO;7754;23,6;48,8;10;868
CUSCO;CHUMBIVILCAS;LIVITACA;3244;2121;1753;309;53;6;0;1;163;80705;CUSCO;CHUMBIVILCAS;LIVITACA;12798;44,2;69,9;6;163
CUSCO;CHUMBIVILCAS;LLUSCO;1354;579;385;164;26;3;1;1;361;80706;CUSCO;CHUMBIVILCAS;LLUSCO;4322;36,3;63,7;7;361
CUSCO;QUISPICANCHI;LUCRE;1339;407;330;67;10;0;0;1;1461;81208;CUSCO;QUISPICANCHI;LUCRE;5223;12,8;25,3;15;1461
CUSCO;URUBAMBA;MACHUPICCHU;992;213;181;29;3;0;0;1;1319;81304;CUSCO;URUBAMBA;MACHUPICCHU;5704;17,3;29,7;14;1319
CUSCO;CANCHIS;MARANGANI;3054;551;445;95;8;3;0;1;747;80604;CUSCO;CANCHIS;MARANGANI;10399;25,8;52,8;10;747
CUSCO;LA CONVENCIÓN;MARANURA;1464;224;200;20;4;0;0;1;1597;80904;CUSCO;LA CONVENCIÓN;MARANURA;5209;5,4;24,2;16;1597
CUSCO;URUBAMBA;MARAS;1877;802;672;112;18;0;0;1;944;81305;CUSCO;URUBAMBA;MARAS;6769;20,3;47,2;11;944
CUSCO;QUISPICANCHI;MARCAPATA;1373;1121;543;459;95;19;5;1;151;81209;CUSCO;QUISPICANCHI;MARCAPATA;4947;44,5;70,7;6;151
CUSCO;LA CONVENCIÓN;MEGANTONI;1172;484;345;112;23;4;0;1;956;80914;CUSCO;LA CONVENCIÓN;MEGANTONI;7499;21,1;46;11;956
CUSCO;ANTA;MOLLEPATA;1066;233;185;44;2;2;0;1;1156;80307;CUSCO;ANTA;MOLLEPATA;3496;16,1;40,1;12;1156
CUSCO;ACOMAYO;MOSOC LLACTA;445;291;253;34;4;0;0;1;897;80204;CUSCO;ACOMAYO;MOSOC LLACTA;1069;24,7;46,1;10;897
CUSCO;LA CONVENCIÓN;OCOBAMBA;1596;387;303;68;14;2;0;1;877;80905;CUSCO;LA CONVENCIÓN;OCOBAMBA;5985;22,9;49,2;10;877
