Column9,Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8
432,100801,HUÁNUCO,PACHITEA,PANAO,18126,"39,6","56,2",8
433,40517,AREQUIPA,CAYLLOMA,TISCO,1483,"36,6","59,1",8
434,190306,PASCO,OXAPAMPA,PUERTO BERMÚDEZ,21511,"39,6",56,8
435,81212,CUSCO,QUISPICANCHI,QUIQUIJANA,11856,"36,8","58,9",8
436,60306,CAJAMARCA,CELENDÍN,JOSÉ GÁLVEZ,2751,"39,5","56,1",8
437,30601,APURÍMAC,CHINCHEROS,CHINCHEROS,5495,"35,7","59,9",8
438,160606,LORETO,UCAYALI,VARGAS GUERRA,7543,"38,9","56,6",8
439,90719,HUANCAVELICA,TAYACAJA,QUICHUAS,4281,"33,3","62,2",8
44,60506,CAJAMARCA,CONTUMAZÁ,SANTA CRUZ DE TOLED,1047,"59,6","76,4",4
440,90308,HUANCAVELICA,ANGARAES,HUAYLLAY GRANDE,1051,"32,3","63,2",8
441,210709,PUNO,LAMPA,SANTA LUCIA,7445,"31,6","63,8",8
442,190102,PASCO,PASCO,HUACHÓN,4601,"37,6","57,6",8
443,211001,PUNO,SAN ANTONIO DE PUTI,PUTINA,13882,"33,6","61,4",8
444,21505,ÁNCASH,PALLASCA,HUANDOVAL,1082,34,61,8
445,160706,LORETO,DATEM DEL MARAÑÓ,ANDOAS,15800,"35,4","59,6",8
446,120205,JUNÍN,CONCEPCIÓN,COCHAS,1971,"19,8","75,1",8
447,210109,PUNO,PUNO,MAÑAZO,5345,"32,8","62,1",8
448,220907,SAN MARTÍN,SAN MARTÍN,HUIMBAYOC,5542,"29,1","65,5",8
449,51103,AYACUCHO,VILCAS HUAMÁN,CARHUANCA,812,"31,9","62,7",8
45,210305,PUNO,CARABAYA,CORANI,4735,"55,2","80,5",4
450,10518,AMAZONAS,LUYA,SAN JERONIMO,621,"37,4","56,9",8
451,190107,PASCO,PASCO,PAUCARTAMBO,9858,"39,2","55,1",8
452,90717,HUANCAVELICA,TAYACAJA,SURCUBAMBA,5094,"33,9","60,3",8
453,10117,AMAZONAS,CHACHAPOYAS,QUINJALCA,792,"37,4","56,9",8
454,50908,AYACUCHO,SUCRE,SAN PEDRO DE LARCAY,814,"33,8","60,4",8
455,80304,CUSCO,ANTA,CHINCHAYPUJIO,4333,"34,4","59,8",8
456,130611,LA LIBERTAD,OTUZCO,SALPO,6543,"37,6","56,5",8
457,10521,AMAZONAS,LUYA,SANTO TOMÁS,3070,"38,4","55,5",8
458,50907,AYACUCHO,SUCRE,PAICO,517,"28,5","65,4",8
459,30704,APURÍMAC,GRAU,HUAYLLATI,1346,"32,4","61,5",8
46,60111,CAJAMARCA,CAJAMARCA,NAMORA,10308,"60,5","75,1",4
460,51101,AYACUCHO,VILCAS HUAMÁN,VILCAS HUAMÁN,6513,"32,2","61,7",8
461,200205,PIURA,AYABACA,MONTERO,6628,"33,3","60,6",8
462,100401,HUÁNUCO,HUACAYBAMBA,HUACAYBAMBA,5809,"32,8","61,1",8
463,50111,AYACUCHO,HUAMANGA,SANTIAGO DE PISCHA,1639,30,"63,8",8
464,190105,PASCO,PASCO,NINACACA,4137,"36,4","57,4",8
465,60411,CAJAMARCA,CHOTA,LLAMA,7385,"37,9","55,8",8
466,120203,JUNÍN,CONCEPCIÓN,ANDAMARCA,3371,"33,1","60,6",8
467,210102,PUNO,PUNO,ACORA,23439,"35,4","58,3",8
468,20510,ÁNCASH,BOLOGNESI,HUAYLLACAYÁN,1365,"32,4","61,2",8
469,130903,LA LIBERTAD,SÁNCHEZ CARRIÓN,COCHORCO,10054,"35,3","58,3",8
47,60504,CAJAMARCA,CONTUMAZÁ,GUZMANGO,2845,59,"75,7",4
470,10508,AMAZONAS,LUYA,LONYA CHICO,858,"37,5","55,9",8
471,210113,PUNO,PUNO,SAN ANTONIO,2697,"31,1","62,2",8
472,100110,HUÁNUCO,HUÁNUCO,YARUMAYO,1584,"32,5","60,8",8
473,20703,ÁNCASH,CARLOS F. FITZCARRA,YAUYA,4180,"35,2",58,8
474,190108,PASCO,PASCO,SAN FCO.DE ASIS DE YARU,3818,"34,9","58,2",8
475,210114,PUNO,PUNO,TIQUILLACA,1620,29,"64,1",8
476,60601,CAJAMARCA,CUTERVO,CUTERVO,51272,"38,8","54,3",8
477,21003,ÁNCASH,HUARI,CAJAY,2661,"33,4","59,7",8
478,101108,HUÁNUCO,YAROWILCA,CHORAS,1869,"30,1","62,9",8
479,220205,SAN MARTÍN,BELLAVISTA,SAN PABLO,8638,"34,6","58,3",8
48,60810,CAJAMARCA,JAEN,SAN FELIPE,4740,"59,8","74,8",4
480,40802,AREQUIPA,LA UNIÓN,ALCA,1851,"33,3","59,4",8
481,50608,AYACUCHO,LUCANAS,LARAMATE,1676,"28,5","64,1",8
482,210502,PUNO,EL COLLAO,CAPAZO,1107,"28,9","63,7",8
483,20109,ÁNCASH,HUARAZ,PAMPAS,998,"32,6",60,8
484,190201,PASCO,DANIEL ALCIDES CARR,YANAHUANCA,11495,"34,6","57,9",8
485,200209,PIURA,AYABACA,SICCHEZ,1642,"33,2","59,2",8
486,81101,CUSCO,PAUCARTAMBO,PAUCARTAMBO,13435,"34,2","58,3",8
487,100403,HUÁNUCO,HUACAYBAMBA,COCHABAMBA,1454,"28,4","63,9",8
488,210105,PUNO,PUNO,CAPACHICA,7167,"33,5","58,8",8
489,160403,LORETO,MARISCAL RAMON CA,YAVARI,10041,"36,5","55,8",8
49,200206,PIURA,AYABACA,PACAIPAMPA,23262,57,"77,4",4
490,20604,ÁNCASH,CARHUAZ,ANTA,2598,"33,7","58,5",8
491,131007,LA LIBERTAD,SANTIAGO DE CHUCO,SANTA CRUZ DE CHUCA,3049,"32,9","59,3",8
492,90114,HUANCAVELICA,HUANCAVELICA,PALCA,1906,"34,1","58,1",8
493,50203,AYACUCHO,CANGALLO,LOS MOROCHUCOS,8217,"30,5","61,5",8
494,80508,CUSCO,CANAS,TÚPAC AMARU,2620,"30,4","61,6",8
495,100322,HUÁNUCO,DOS DE MAYO,SILLAPATA,1662,"30,5","61,4",8
496,50502,AYACUCHO,LA MAR,ANCO,8105,"31,1","60,8",8
497,131001,LA LIBERTAD,SANTIAGO DE CHUCO,SANTIAGO DE CHUCO,20368,"37,1","54,8",8
498,100104,HUÁNUCO,HUÁNUCO,CHURUBAMBA,15364,"33,2","58,6",8
499,21507,ÁNCASH,PALLASCA,LLAPO,624,"33,9","57,9",8
5,90722,HUANCAVELICA,TAYACAJA,PICHOS,1894,"65,6","88,6",2
50,130902,LA LIBERTAD,SÁNCHEZ CARRIÓN,CHUGAY,19344,"55,8","78,5",4
500,10305,AMAZONAS,BONGARÁ,CUISPES,684,"35,6","56,1",8
501,100510,HUÁNUCO,HUAMALIES,SINGA,3039,"33,6",58,8
502,100511,HUÁNUCO,HUAMALIES,TANTAMAYO,1678,"33,6",58,8
503,50303,AYACUCHO,HUANCA SANCOS,SACSAMARCA,1308,32,"59,6",8
504,50407,AYACUCHO,HUANTA,SIVIA,11685,"35,8","55,7",8
505,80503,CUSCO,CANAS,KUNTURKANKI,5178,32,"59,6",8
506,10103,AMAZONAS,CHACHAPOYAS,BALSAS,1180,"36,8","54,7",8
507,81105,CUSCO,PAUCARTAMBO,HUANCARANI,7866,"31,7","59,7",8
508,21305,ÁNCASH,MARISCAL LUZURIAG,LLAMA,1015,"31,7","59,7",8
509,21907,ÁNCASH,SIHUAS,QUICHES,2400,33,"58,1",8
51,60612,CAJAMARCA,CUTERVO,SANTO DOMINGO DE LA CAPIL,5015,"59,9","73,8",4
510,80605,CUSCO,CANCHIS,PITUMARCA,8366,"31,7","59,3",8
